RECT
(118650,436813),(120150,436813),(120150,441225),(118650,441225)
(118650,439019),(119400,439019),(119400,441225),(118650,441225)
(118650,440122),(119025,440122),(119025,441225),(118650,441225)
(119025,440122),(119400,440122),(119400,441225),(119025,441225)
(118650,439019),(119025,439019),(119025,440122),(118650,440122)
(119025,439019),(119400,439019),(119400,440122),(119025,440122)
(119400,439019),(120150,439019),(120150,441225),(119400,441225)
(118650,436813),(119400,436813),(119400,439019),(118650,439019)
(118650,437916),(119025,437916),(119025,439019),(118650,439019)
(119025,437916),(119400,437916),(119400,439019),(119025,439019)
(118650,436813),(119025,436813),(119025,437916),(118650,437916)
(119025,436813),(119400,436813),(119400,437916),(119025,437916)
(119400,436813),(120150,436813),(120150,439019),(119400,439019)
CT
(119580,440050),(119710,440050),(119710,440180),(119580,440180)
(119200,440050),(119330,440050),(119330,440180),(119200,440180)
(118830,440050),(118960,440050),(118960,440180),(118830,440180)
(119580,439770),(119710,439770),(119710,439900),(119580,439900)
(119200,439770),(119330,439770),(119330,439900),(119200,439900)
(118830,439770),(118960,439770),(118960,439900),(118830,439900)
(119580,439490),(119710,439490),(119710,439620),(119580,439620)
(119200,439490),(119330,439490),(119330,439620),(119200,439620)
(118830,439490),(118960,439490),(118960,439620),(118830,439620)
(119580,439210),(119710,439210),(119710,439340),(119580,439340)
(119200,439210),(119330,439210),(119330,439340),(119200,439340)
(118830,439210),(118960,439210),(118960,439340),(118830,439340)
(119420,438245),(119550,438245),(119550,438375),(119420,438375)
(118900,438235),(119030,438235),(119030,438365),(118900,438365)
(119630,437845),(119760,437845),(119760,437975),(119630,437975)
(118880,437835),(119010,437835),(119010,437965),(118880,437965)
(119630,437565),(119760,437565),(119760,437695),(119630,437695)
(118880,437555),(119010,437555),(119010,437685),(118880,437685)
(119630,437285),(119760,437285),(119760,437415),(119630,437415)
(118880,437275),(119010,437275),(119010,437405),(118880,437405)
(119630,437005),(119760,437005),(119760,437135),(119630,437135)
(118880,436995),(119010,436995),(119010,437125),(118880,437125)
M1
(119580,438715),(119710,438715),(119710,441225),(119580,441225)
(118830,438715),(118960,438715),(118960,441225),(118830,441225)
(118650,438165),(119030,438165),(119030,438585),(118650,438585)
(118880,436813),(119010,436813),(119010,438035),(118880,438035)
(119420,438175),(119765,438175),(119765,438585),(119420,438585)
(119160,438715),(119160,436935),(119760,436935),(119760,437885),(120020,437885),(120020,437815),(120150,437815),(120150,438085),(120020,438085),(120020,438015),(119760,438015),(119760,438045),(119630,438045),(119630,437065),(119290,437065),(119290,438715),(119400,438715),(119400,440180),(119130,440180),(119130,438715)
